name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Federal Mine Safety and Health Review Commission,2013,3.1,1,5.7,7,8.9,6
Bureau of Industrty and Security,2012,15,10,7,7,NA,NA
Region 4,2013,12.06,13,NA,NA,11,39.54
Defense Nuclear Facilities Safety Board,2010,7,5,NA,NA,47,47
Federal Student Aid,2009,81,25,NA,NA,59,42
Office of the Chief Financial Officer,2011,NA,NA,NA,NA,57.3,17.5
Surface Transportation Board,2009,6.75,5.5,NA,NA,NA,NA
Office of Legislation and Congressional Affairs,2009,322,322,NA,NA,35,17
United States Department of State,2010,144,142,1276,435,21,284
Defense Technical Information Center,2012,9,9,NA,NA,42,26
Veterans Benefits Administration,2012,34.71,29,393,1,486,41.32
Pension Benefit Guaranty Corporation,2013,NA,NA,NA,NA,10,9
Office of Innovation and Improvement,2010,78,42,NA,NA,89,28
Office of Postsecondary Education,2008,135,75,NA,NA,109,55
National Technical Information Service,2009,6,7,5,5,NA,NA
Federal Law Enforcement Training Center,2012,15.29,6,NA,NA,NA,NA
Office of Surface Mining,2011,25,16,NA,NA,NA,NA
Office of Public Affairs,2012,973,973,9.7,6,692.7,75
OCR Region V - Chicago,2012,14.7,18,NA,NA,20,20
Office of Intelligence and Analysis,2013,30.93,32,NA,NA,50.86,35.5
National Aeronautics and Space Administration,2008,34,11,36,36,83,35
Department of the Treasury,2013,15.68,5,NA,88,2064,22.56
FHFA Headquarters,2013,17.09,8.5,NA,NA,158,46.97
OCR Region VII- Kansas City,2013,101.27,71.5,NA,NA,58.33,25
United States Office of Government Ethics,2011,12.097,9.5,8,8,NA,NA
DEPARTMENT OF DEFENSE INSPECTOR GENERAL,2011,5,4,133,6,326,38
Office of the Assistant Secretary for Administration and Management,2010,NA,NA,92,92,32,20
"FOIA Policy, Office of Executive Secretariat and Regulatory Affairs",2012,NA,NA,NA,NA,NA,NA
"Office of Operations, Security, and Preparedness (formerly S&LE - Security & Law Enforcement)",2012,12.07,14,NA,NA,NA,NA
United States Railroad Retirement Board,2013,13.63,18,NA,NA,NA,NA
Federal Student Aid,2013,51.69,53,104,104,72.17,55.5
National Highway Traffic Safety Administration,2011,32,18,NA,NA,8,72
Office of Communications and Outreach,2009,345,345,NA,NA,100,69
Department of Justice,2013,21.75,12,NA,997,1232,115.81
Railroad Retirement Board,2008,13,16.5,NA,NA,NA,NA
Department of the Interior,2010,4,2,124,2,1185,32
Office of Budget and Program Analysis,2012,6.4,5,NA,NA,NA,NA
Office of English Language Acquisition,2011,100.62,38.5,NA,NA,171,171
"United States Section, International Boundary and Water Commission",2012,5.6,5,NA,NA,31.9,30
United States Office of Government Ethics,2009,12.4,13,NA,NA,9,9
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2009,NA,NA,NA,NA,NA,NA
Drug Enforcement Administration,2012,121.29,92,NA,NA,8,150.63
Region 3,2011,20.88,21,NA,NA,21,60.25
Bureau of Ocean Energy Management,2012,11,8,41,15,269,45
Oak Ridge Office,2009,19,13,NA,NA,1,93
Glenn Research Center,2012,5.25,2,NA,NA,66,22.43
Executive Office for Immigration Review,2009,21,18,28,25,34,29
Federal Deposit Insurance Corporation,2008,9,6,16,13,15,11
Western Area Power Administration,2011,8.56,6.5,NA,NA,NA,NA
Office of Policy,2012,4.8,2,NA,NA,12.1,10
Civil Rights Division,2013,9.03,4,NA,NA,861,278.86
Johnson Space Center,2013,1.86,1,NA,NA,80,12.99
Department of Energy,2013,22.21,9,NA,195,2043,164.52
Goddard Space Flight Center,2010,65.46,39,4,44.8,139.46,123.5
Carlsbad Field Office,2013,NA,NA,NA,NA,NA,NA
Bureau of Labor Statistics,2008,15,15,8,8,NA,NA
National Archives and Records Administration,2011,10.5,4,NA,NA,382,20
Indian Health Service,2013,15,10,NA,NA,61,44
Executive Office for United States Attorneys,2012,91.22,38,NA,NA,9,324
Office of Information and Technology (005),2013,16.13,12.5,94,104.5,23.9,6
United States Office of Government Ethics,2012,10.959,9,NA,NA,NA,NA
Philadelphia District Office,2011,24.791,23,NA,NA,NA,NA
Office of the General Counsel,2012,8,8,NA,NA,NA,NA
Office of The Inspector General,2013,11.45,11,NA,NA,14,72.51
Federal Housing Finance Agency - Office of the Inspector General,2013,10.94,11,NA,NA,4,4
Export-Import Bank of the United States,2013,82.2,59,NA,NA,318.19,277
Office of Justice Programs,2009,14.5,9,NA,NA,65.4,61
Region 2,2010,69.24,55,25,3,151,82.55
Research and Innovative Technology Administration,2009,12,10,16,19,14,14
Research and Innovative Technology Administration,2013,9,7,9,9,20,20
United States Central Command,2010,60,43,185,185,365,300
National Drug Intelligence Center,2008,28,18,NA,NA,NA,NA
Office of Justice Programs,2010,28.6,16,NA,NA,957,99.61
United States Securities and Exchange Commission,2010,18.38,7,49,49,553.33,563.5
National Energy Technology Laboratory,2009,18,10,NA,NA,NA,NA
Overseas Private Investment Corporation,2010,17.95,9,NA,NA,NA,NA
Immigration and Customs Enforcement,2008,17,1,44,15,39.9,10
Marshall Space Flight Center,2013,7.95,5,NA,NA,66,21.58
Consumer Protection Financial Board,2012,8.5,8,NA,NA,48.5,48
Employment and Training Administration,2011,26.9,16.5,25.4,26,32.1,23
Federal Student Aid,2010,98,59,NA,NA,60,28
Region 8,2009,11.29,9,NA,NA,67.18,30
Region 3,2009,20.24,21,NA,NA,12,49.97
United States Pacific Command,2013,8,8,NA,NA,109,68
Executive Office for United States Attorneys,2009,152.1,48,NA,NA,7,439.9
Federal Deposit Insurance Corporation,2011,11.42,6,NA,NA,17,187
National Cemetary Administration,2012,15.68,12,NA,NA,NA,NA
United States Secret Service,2013,10.79,11,NA,NA,223.4,92
NSF Foundation,2009,22,16,21,8,NA,NA
Financial Management Service,2008,NA,NA,NA,NA,NA,NA
Office of the Solicitor,2012,313,114,NA,NA,NA,NA
Office of the General Manager,2009,8,6,2,2,NA,NA
Federal Housing Finance Board,2008,5.2,2.5,NA,NA,21,21
National Nuclear Security Administration,2010,24.4,13,9,9,2305,163.88
Chemical Safety and Hazard Investigation Board,2008,18,20,NA,NA,437,459
Memphis District Office,2010,14.9498,17,NA,NA,NA,NA
Chicago Regional Office,2012,4,3,NA,NA,NA,NA
Civil Rights Division,2011,5.8,2,22,22,933,113
Food Safety and Inspection Service,2012,56.54,27,NA,NA,300.66,260
American Battle Monuments Commission,2010,11,11,NA,NA,NA,NA
South Eastern Power Administration,2011,11.4,13,NA,NA,NA,NA
Office of the Chief Financial Officer,2008,NA,NA,NA,NA,10.2,9
Postal Regulatory Commission,2008,5,2,NA,NA,NA,NA
Savannah River Office,2012,12.41,11,NA,NA,NA,NA
Office of Safe and Drug-Free Schools,2010,73,59,NA,NA,36,15
International Trade Administration,2008,16,42,NA,NA,NA,NA
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2010,75,61,NA,NA,70,51
Office of the Secretary of Defense/Joint Staff,2008,11,3,687,687,486,237
Farm Service Agency,2010,2,1,1,1,18,2
Office of Vocational and Adult Education,2013,31,31,NA,NA,NA,NA
Office of Public Health and Science,2010,24,10,NA,NA,255,176
OCR Regional Enforcement Office - San Francisco,2009,7,3,NA,NA,6,6
National Energy Technology Laboratory,2012,19.86,16.5,NA,NA,NA,NA
Office of Communications and Outreach,2010,NA,NA,NA,NA,NA,NA
Department of Veterans Affairs,2010,14.23,4,NA,NA,121,15.52
Antitrust Division,2008,17,10,NA,NA,458,328
United States African Development Foundation,2010,9,8,NA,NA,NA,NA
Bureau of Prisons,2010,19.13,3,48,12,394,67.79
Food and Drug Administration,2008,285.9,206,309.5,173,500.8,481
Centers for Disease Control and Prevention,2011,44.32,26.5,NA,NA,1000,73.37
Health Resources and Services Administration,2010,NA,NA,NA,NA,15,14
United States Customs and Border Protection,2008,23.31,9,NA,NA,101,50
Peace Corps,2011,31,23,11,11,101,93
Council on Environmental Quality,2010,31.9,11.5,20,20,NA,NA
Immigration and Customs Enforcement,2009,12.46,8,58,58,38.48,23
Employee Benefits Security Administration,2012,16.2,14.5,NA,NA,120.3,17
Economic and Statistics Administration/Bureau of Economic Analysis,2012,3,1,NA,NA,38,17
Agency Overall,2009,NA,NA,NA,NA,NA,NA
United States Secret Service,2008,31.16,33,NA,NA,309.44,162
Officer of Special Education and Rehabilitative Services,2011,88.25,45,NA,NA,128.82,102
Defense Technology and Research Agency,2009,7,3,NA,NA,37,18
United States International Trade Commission,2013,10,8,NA,NA,30,30
Community Relations Service,2013,8.13,8,NA,NA,11,16
OCR Region VIII - Denver,2013,8.77,7,NA,NA,3,9
Inter-American Foundation,2010,15.2,14,NA,NA,NA,NA
Dallas Regional Office,2011,18,18,NA,NA,NA,NA
"OM - Privacy, Information, Record Management Services",2011,35.82,16,19,19,105.21,89
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2013,15.5,16.5,NA,NA,67.51,50.75
United States Department of the Navy,2008,33,15,8,2,133,26
Office of Inspector General,2011,13,5,43,40,1056,1131
Memphis District Office,2012,21.74,19,NA,NA,NA,NA
Executive Office for United States Trustees,2009,14.6,9.5,NA,NA,144.1,93
Administrative Conference of the United States,2011,1.6,1,NA,NA,NA,NA
United States Copyright Office,2012,18.6,7.5,NA,NA,NA,NA
Financial Crimes Enforcement Network,2011,1,1,NA,NA,5,4
United States European Command,2012,15,7,NA,NA,314,607
Office of Legislative Affairs,2012,29.77,18,8,201.38,7,236.32
Centers for Medicare & Medicaid Services,2010,37,27,169,145,364,308
Department of the Treasury,2009,10.8,6,81.6,74,47.6,14
Executive Office for United States Trustees,2010,8.75,7,NA,NA,96.37,32.5
OCR Region VI - Dallas,2013,16.16,16,NA,NA,20.95,19
OCR Region IV - Atlanta,2011,17.07,10,NA,NA,52.6,47
Economic and Statistics Administration/Bureau of Economic Analysis,2013,8,6,NA,NA,NA,NA
Occupational Safety and Health Administration,2012,27.6,6,15.2,7,29.4,9
Office of Legislative Affairs,2011,79.49,52,205.5,88,303.09,282
Office of Administration,2011,47.67,47.5,NA,NA,NA,NA
Office of Management - Regulatory Information Management Services,2010,66,41,314,314,41,21
OCR Regional Enforcement Office - Cleveland,2009,11,NA,NA,NA,11,9
Bureau of Public Debt,2008,NA,NA,NA,NA,6.2,4
Executive Office for Immigration Review,2010,24.93,21,102,31.28,2,21.56
Federal Law Enforcement Training Center,2013,19.26,10,NA,NA,NA,NA
Office of the Deputy Assistant Secretary for Intergovernmenal Affairs,2009,NA,NA,NA,NA,NA,NA
Office of Construction and Facilities Management,2010,47.52,31,NA,NA,NA,NA
Office of the Deputy Assistant Secretary for Intergovernmental Affairs,2008,NA,NA,NA,NA,NA,NA
"TRICARE Management Agency, DoD Health Care System",2009,13,10,NA,NA,67,40
Office of Management,2013,222,222,NA,NA,182.14,182
National Security Agency,2010,48,12,78,78,1398,822
Armed Service Board of Contract Appeals,2013,5,3,NA,NA,NA,NA
Agency for Healthcare Research and Quality,2008,10,NA,10,NA,15,NA
Richland Operations Office,2009,12,10,NA,NA,NA,NA
Administrative Law Judges,2013,4,4,1.8,1.5,10.3,2
Farm Credit System Insurance Corporation,2009,13,15,NA,NA,NA,NA
National Transportation Safety Board,2012,18.53,17,NA,NA,614,104.51
Office of the General Counsel,2010,3,2,NA,NA,NA,NA
Dryden Flight Research Center,2012,25.58,15.5,NA,NA,26,85.88
"TRICARE Management Agency, DoD Health Care System",2011,16,12,NA,NA,412,127
Office of Intergovermental and Public Liaison,2008,55,39,NA,NA,344,344
Department of Labor,2010,NA,NA,NA,NA,NA,NA
"Research, Education, and Economics",2012,7.8,7,20,20,18,18
General Counsel,2009,26.5,30.5,NA,NA,NA,NA
Office of the Chief Information Officer,2013,31,31,NA,NA,17.4,22
San Francisco Regional Office,2011,20,20,NA,NA,NA,NA
NASA Management Office - Jet Propulsion Laboratory,2010,4.38,2.5,NA,NA,19,24.33
Veterans Health Administration,2012,10.16,4,NA,49,733,21.36
Department of Defense Education Agency,2010,20,17,NA,NA,53,69
Office of Construction and Facilities Management,2011,62.72,66,NA,NA,NA,NA
United States Parole Commission,2011,8.25,2,NA,NA,349,72.28
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2011,49.29,40.5,NA,NA,97.33,93
Agricultural Marketing Service,2012,17,15,22,10,87,58
Western Area Power Administration,2010,7.21,7,NA,NA,NA,NA
National Indian Gaming Commision,2011,30.15,156,25,25,64,128
Office of the Director of National Intelligence,2010,134.99,88,NA,NA,305.53,122
NASA Management Office - Jet Propulsion Laboratory,2013,4.33,4,NA,NA,2,20.88
Millennium Challenge Corporation,2010,17,6,NA,NA,NA,NA
United Sates Department of Health and Human Services,2008,60,18,110,15,300,98
Office of Civil Rights,2013,11.91,12,1,1,NA,NA
Office of Scientific and Technical Information,2013,11,10.5,NA,NA,NA,NA
Federal Motor Carrier Safety Administration,2010,36,35,3,61,2,39
Bureau of Safety and Environmental Enforcement,2012,11,11,NA,NA,65,22
Farm Credit Administration,2011,11.023,11,NA,NA,5.25,1.5
United States Merit Systems Protection Board,2011,9,17,NA,NA,42,42
OCR Region IV - Atlanta,2010,33,23,NA,NA,118,36
Birmingham District Office,2010,16.3047,17,NA,NA,NA,NA
Chicago Operations Office,2013,5.98,3,NA,NA,321,41.08
"Bureau of Ocean Energy Management, Regulation and Enforcement",2010,2,1,NA,NA,NA,199
Region 9 - San Fracisco,2011,20,18,45,45,39,23
Atlanta Regional Office,2009,8,7,NA,NA,NA,NA
Immigration and Customs Enforcement,2013,52.79,45,28.76,19,63.01,37
Executive Secretariat,2013,95.5,95,NA,NA,158,158
Region 5,2012,14.55,14,24,24,567,35.01
Department of the Interior,2013,3,1,NA,579,1492,43
Region 2 - New York,2012,17.94,19.5,4,4,25.12,20
Boston Regional Office,2010,12,9,NA,NA,NA,NA
United States Citizenship and Immigration Services,2009,215.09,198.24,4,67.2,1,319.15
United States Northern Command,2008,11,13,NA,NA,NA,NA
Office of the Associate Attorney General,2013,25.18,18,451,451,247.66,199
Federal Labor Relations Authority,2012,11,8,NA,NA,21,66
U.S. Trade and Development Agency,2010,NA,NA,NA,NA,105,60
Federal Aviation Administration,2011,22,16,NA,92,1121,74
United States European Command,2008,71,65,NA,NA,266,254
Bureau of Prisons,2009,18,7,NA,12,285,53
Defense Logistic Agency,2009,11,3,75,75,22,8
United States Consumer Product Safety Commission,2012,35,8,99,99,102,77
Office of Operations Coordination,2009,4.79,4,NA,NA,4.74,7
Federal Student Aid,2008,127,33,NA,NA,57,30
Office on Violence Against Women,2009,15.7,13.5,NA,NA,NA,NA
Defense Contract Management Agency,2010,30,21,NA,NA,32,125
Office of The Inspector General,2011,9.03,4,NA,NA,9,86.1
Inter-American Foundation,2008,12.2,12,NA,NA,NA,NA
Federal Retirement Thrift Investment Board,2013,27,22,NA,NA,NA,NA
Region 4,2010,20.57,18,4,7.5,4,74.73
Federal Open Market Committee,2010,7.6,6.5,NA,NA,4,50.4
Department of Justice,2011,24.94,14,697,1,1886,106.76
National Endowment for the Humanities,2009,15,14,7,8,26,20
United States Department of State,2011,156,150,926,49,342,279
Equal Employment Opportunity Commission,2011,15.8739,15,3,3,NA,NA
United States Department of Labor,2011,37.7,5,83.2,6.25,214.9,24.8
New York District Office,2010,15.1007,13,NA,NA,NA,NA
Office of Thrift Supervision,2008,NA,NA,NA,NA,36,7
Kennedy Space Center,2011,11.93,7,NA,NA,318,38.11
Federal Highway Administration,2009,28,16,6,5,147,103
National Guard Bureau,2013,10,10,NA,NA,6,85
United States Department of Labor,2012,48,8,139.9,9,54.6,12
Federal Open Market Committee,2011,10.4,8,NA,NA,21.4,19
Administration for Children and Families,2009,145,108,NA,NA,278,261
Office of the Deputy Assistant Secretary for Intergovernmenal Affairs,2010,NA,NA,NA,NA,NA,NA
Region 2 - New York,2010,20,60,21,30,39,65
United States Small Business Administration,2009,11.67,8,NA,NA,2,4.5
Western Area Power Administration,2009,10,10,NA,NA,NA,NA
United States Pacific Command,2012,1,1,NA,NA,116,73
Appeals,2010,NA,NA,NA,NA,NA,NA
Farm Credit Administration,2010,9.375,8,NA,NA,NA,NA
OCR Regional Enforcement Office - Seattle,2008,6,3,NA,NA,11,10
Foreign Agricultural Service,2010,24.2,8,NA,NA,NA,NA
Federal Energy Regulatory Commission,2008,18,19,44,25,25,21
Carlsbad Field Office,2009,9,9,NA,NA,12,7
Chicago District Office,2010,13.6918,16,NA,NA,NA,NA
Charlotte District Office,2010,18.5764,19,NA,NA,NA,NA
Bureau of Reclamation,2009,9,7,29,1,413,33.94
Veterans' Employment and Training Service,2013,65.2,48,59.3,5,62.1,28
Region 4 - Atlanta,2012,18.13,16,21,21,19.32,16
National Indian Gaming Commision,2013,109,68.5,NA,NA,504,588
Office of Inspector General for the USPS,2010,8,8,8,4,61,31
National Oceanic and Atmospheric Administration,2009,9,9,10,6,113,50
Management Directorate,2009,9.4,9,NA,NA,30.63,24.5
Special Inspector General for Iraq Reconstruction,2012,12,12,NA,NA,NA,NA
United States Citizenship and Immigration Services,2010,42.86,35.62,74.21,22.61,61.45,62.34
OCR Region IX - San Francisco,2013,4.76,3,NA,NA,1,11.39
"Authority Member, Administrative Law Judges & Solicitor",2011,13,13,NA,NA,NA,NA
FOIA Office,2009,45,38,NA,NA,250,157
Office of Dispute Resolution,2009,3,1.5,NA,NA,NA,NA
Federal Mediation and Conciliation Service,2012,7.5,6,2.1,2,8.9,8
United States Office of Personnel Management,2008,NA,NA,NA,NA,51,1
Office of Legal Counsel,2010,73.68,15,NA,NA,15,178.5
Departmental Management,2012,14.95,7,NA,NA,10.33,6
Employment and Training Administration,2009,83.5,49,64.8,32.5,92.9,77
Employee Benefits Security Administration,2011,7.4,6,7.4,1.5,16.8,11
Federal Railroad Administration,2013,51,31,NA,NA,7,7
Washington Regional Office,2008,8,8,NA,NA,NA,NA
Chicago Operations Office,2008,6,3,16,16,31,28
United States Customs and Border Protection,2012,106.83,118,1,1,84.25,87.5
Federal Housing Finance Agency,2010,48,29,2,2,174,170
Office of Diversity and Inclusion (formerly DM&EEO - Office of Diversity Management and Equal Employment Opportunity),2013,28,28,NA,NA,NA,NA
Oak Ridge Office,2013,23.25,13,NA,NA,4,99.83
Phoenix District Office,2011,13.2801,15,NA,NA,NA,NA
Multiple Offices Assigned,2013,27.17,20,NA,NA,95.36,64
Indian Health Service,2012,18,9,NA,NA,59,42
United States Small Business Administration,2012,4.2,2,NA,NA,NA,NA
Peace Corps,2013,32,26,NA,NA,183,152
Office of the Director of National Intelligence,2013,86.12,16,NA,NA,1145,167.91
Office of Safe and Drug-Free Schools,2011,117.76,154.5,NA,NA,112.57,110
Economic Development Administration,2009,4,1,8,8,27,20
Region 1,2008,17.72,16,NA,NA,47.91,37
Antitrust Division,2013,4.62,3,NA,NA,3,183.33
Selective Service System,2013,2,2,NA,NA,NA,NA
Bureau of Reclamation,2012,9,9,NA,NA,29,16
Boston Regional Office,2012,2,2,NA,NA,NA,NA
Federal Housing Finance Agency - Office of the Inspector General,2012,9.08,10,NA,NA,6,12.5
Office of Policy,2011,4.22,4,NA,NA,8.4,7
United States Department of Commerce,2012,18,13,10,8,76,32
Bureau of the Census,2010,18,18,39,33,NA,NA
Office of the Chief Financial Officer,2010,NA,NA,NA,NA,31.2,15
Mine Safety and Health Administration,2009,NA,NA,48.6,3,14.8,9
Office of Operations Coordination,2012,2.5,2,NA,NA,8.77,6.5
Office of the Under Secretary,2009,28,20,NA,NA,20,20
Dryden Flight Research Center,2011,21.33,12,NA,NA,30,30
Department of Homeland Security,2008,146.31,87,57.85,23,280.38,374
Bureau of Reclamation,2011,16,15,13,10,607,34
Office of National Drug Control Policy,2013,49,42,NA,NA,NA,NA
United States Department of the Navy,2011,23,11,NA,63,1410,73
Saint Lawrence Seaway Development Corporation,2010,8,8,NA,NA,4,4
Office of the Deputy Assistant Secretary for Intergovernmenal Affairs,2012,NA,NA,NA,NA,NA,NA
Office for Civil Rights (Headquarters),2009,24,15,NA,NA,32,23
Broadcasting Board of Governors,2012,32,26,NA,NA,36,30
Bureau of Engraving and Printing,2013,7,3,NA,NA,22,15
"Grain Inspection, Packers and Stockyards Administration",2012,8.13,4,1,1,40.94,32.5
Office of the Under Secretary,2012,46,46,NA,NA,151,46.5
United States Copyright Office,2011,19.8,20,NA,NA,NA,NA
Surface Transportation Board,2008,10.5,7,NA,NA,NA,NA
National Drug Intelligence Center,2009,15,12,NA,NA,NA,NA
Criminal Division,2011,22.84,9,16,81,3,51.6
Office of the Assistant Secretary for Human Resources & Administration,2008,NA,NA,NA,NA,NA,NA
Office of Intelligence and Analysis,2009,14.5,13,NA,NA,18.36,17.5
Office of Intelligence and Analysis,2008,14.59,14.5,NA,NA,43.41,42
Defense Technical Information Center,2008,12,13,NA,NA,NA,NA
Ames Research Center,2009,118,99,41,41,30,9
Criminal Division,2010,27.15,16,17,49,1,77.51
National Institutes of Health,2011,24,14,NA,NA,NA,NA
Office of the Comptroller of the Currency,2010,11.46,6,NA,33,185,27.23
Food Safety and Inspection Service,2010,44,21,NA,NA,643,119
Department of Justice,2012,18.93,12,NA,851,1237,100.21
United States Department of Labor,2013,20.4,8,39.5,7,28.5,11
Federal Transit Administration,2010,23,19,NA,NA,NA,NA
United States Coast Guard,2012,10.09,7,NA,NA,65.31,39
Department of Housing and Urban Development,2008,NA,NA,NA,NA,NA,NA
Defense Finance and Accounting Service,2012,10,6,NA,NA,38,21
Research and Innovative Technology Administration,2010,11,8,5,9,49,49
Office of Dispute Resolution,2008,11,10,NA,NA,NA,NA
Economic and Statistics Administration/Bureau of Economic Analysis,2009,10,9,NA,NA,NA,NA
Department of Justice,2008,42.88,11,NA,2397,6659,272.69
National Cemetary Administration,2009,16,10.5,NA,NA,NA,NA
"OM - Privacy, Information, Record Management Services",2012,33.56,9,NA,NA,186.83,161
Region 3,2010,20.58,21,24,24,721,68.24
Maritime Administration,2010,137,6,NA,NA,137,77
Treasury Inspector General for Tax Administration,2012,4,4,12,10,15,16
OCR Regional Enforcement Office - District of Columbia,2008,29,18,NA,NA,17,20
Los Angeles District Office,2013,2.7,1,NA,NA,14,14
Bureau of Indian Affairs,2012,1,1,NA,NA,736,27
National Nuclear Security Administration Service Center Albuquerque,2008,59,35,NA,NA,NA,NA
Defense Logistic Agency,2013,9,5,NA,NA,1,32
Community Relations Service,2010,NA,NA,NA,NA,NA,NA
Financial Management Service,2013,12,10,NA,NA,32,22
Veterans' Employment and Training Service,2008,11.06,10,10.2,5.5,28.7,40
United States Department of Commerce,2013,9,8,40,14,90,43
Region 3 - Philadelphia,2013,12.9,10,23,23,21.19,14
United States Department of the Air Force,2012,15,10,14,13,85,39
Mine Safety and Health Administration,2013,NA,NA,188.6,124,16.2,9
Bonneville Power Administration,2009,23,16,NA,NA,NA,NA
Southwestern Power Administration,2009,10,11,NA,NA,NA,NA
Office of Civil Rights & Civil Liberties,2013,6.07,6,NA,NA,15.8,12
United States Commission on Civil Rights,2013,3,1,NA,NA,14,14
Management Directorate,2012,13.67,9.5,50,50,35.61,30
National Endowment for the Arts,2010,18.4,5,2,2.7,12,34.9
Department of Homeland Security,2011,37.4,11,155.1,17,78.31,68
Office of Elementary and Secondary Education,2013,21.27,14,NA,NA,49.68,39
Institute of Education Sciences - National Assessment Governing Board,2009,NA,NA,NA,NA,NA,NA
Office of General Council,2013,58,36,NA,NA,NA,NA
Office of Intelligence and Analysis,2012,9,8,NA,NA,60.82,23
Office of the Director of National Intelligence,2011,41.87,4,NA,NA,94,26.5
Tax Division,2010,9.48,3,NA,NA,1,105.71
Board of Veterans' Appeals,2011,20.08,11.5,NA,NA,NA,NA
Community Relations Service,2008,9,8,NA,NA,NA,NA
Region 4 - Atlanta,2011,12,10,11,7,25,21
Recovery Accountability and Transparency Board,2013,11.5,6.5,NA,NA,NA,NA
Federal Housing Finance Agency FOIA,2012,11.48,6,NA,NA,271,40.41
OCR Regional Enforcement Office - Atlanta,2008,45,33,27,27,NA,NA
Office of English Language Acquisition,2010,55,33,NA,NA,165,165
Headquarters,2009,83,16,27,51,NA,NA
United States Geological Survey,2012,1,1,NA,NA,46,13
Office of Congressional and Intergovernmental Affairs,2012,705.8,20.5,21,21,503.3,39
Occupational Safety and Health Review Commission,2008,8.5,7,NA,NA,28,28
United States Citizenship and Immigration Services,2008,230.4,238,2,63,1,291.8
National Institute of Standards and Technology,2013,5,1,NA,NA,128,63
Office of Legal Counsel,2009,146.5,38,12,12,119.7,75
International Trade Administration,2009,21,11,NA,NA,NA,NA
Postal Regulatory Commission,2012,5,3,NA,NA,27,27
Department of the Interior,2009,3,2,NA,NA,4,2850
"Office of Acquisition, Logistics, and Construction (formerly A&MM - Acquisition & Material Management)",2011,32.38,11,NA,NA,NA,NA
Region 9,2010,22.68,20,22,22,2,171.67
National Drug Intelligence Center,2011,26.62,18.5,NA,NA,76.17,61.5
Economic Development Administration,2008,4,6,NA,NA,19,16
Office of the Solicitor General,2010,82.44,36,NA,NA,NA,NA
Atlanta Regional Office,2012,8,10,NA,NA,NA,NA
Office of the Secretary / Office of the Chief Information Officer,2012,142.36,28,71,71,168.4,102
Office of Management,2012,5,5,NA,NA,2,2
Office of Small and Disadvantaged Business Utilization,2010,36,36,NA,NA,NA,NA
Ames Research Center,2010,41.81,20,NA,NA,NA,NA
OCR Region VIII - Denver,2010,18,17,23,23,29,25
Office of Safe and Drug-Free Schools,2012,31.5,20.5,NA,NA,135.5,135.5
United States Southern Command,2012,3,9,NA,NA,167,104
Defense Technology and Research Agency,2008,7,6,NA,NA,50,24
OCR Region V - Chicago,2010,19,20,NA,NA,22,22
Justice Management Division,2012,26.06,19.5,8.75,5,76.62,37
United States Special Operations Command,2010,60,2,970,970,438,82
NASA Shared Services Center,2011,23.46,18,NA,NA,109.67,42
Financial Management Service,2012,12,12,NA,NA,12,9
Langley Research Center,2010,13.89,8,NA,NA,1200,308.35
Chemical Safety and Hazard Investigation Board,2012,17,20,188,35,413,382
Postal Regulatory Commission,2009,NA,NA,NA,NA,NA,NA
Office of Safe and Drug-Free Schools,2009,99,53,NA,NA,119,105
Office of Legal Policy,2012,13.24,9,47,173.75,1,74.63
National Reconnaissance Office,2010,10,7,5,5,41,177
Defense Contract Audit Agency,2008,7,7,7,7,24,13
Office of the Attorney General,2010,85.53,31.5,931,104,1032,450.76
Region 1,2013,13.54,11,NA,NA,21,45.65
Indian Health Service,2008,20,16,20,14,36,44
Region 9 - San Fracisco,2010,30,175,15,17,63,275
Office of Legal Counsel/Headquarters,2012,21.56,18,7.77,5,NA,NA
Office of the Deputy Attorney General,2010,142.66,91,124,326.53,16,492.23
Phoenix District Office,2013,15.19,17,NA,NA,NA,NA
Bureau of International Labor Affairs,2008,NA,NA,NA,NA,29.3,13
Bureau of International Labor Affairs,2013,NA,NA,NA,NA,34.9,11
Foreign Agricultural Service,2012,10.22,10,3.5,3,67.33,57
Community Relations Service,2011,10.3,8.5,NA,NA,33,33
Agricultural Marketing Service,2011,17,18,NA,NA,50,39
Region 7 - Kansas,2013,13.74,11.5,NA,NA,11,11
OCR Region I - Boston,2010,35,29,NA,NA,89,75
Board of Governors of the Federal Reserve System,2011,3,1,NA,NA,516,47
Office of Postsecondary Education,2011,39.34,37,NA,NA,108.9,84.5
Women's Bureau,2011,42.5,41,NA,NA,53.9,58
Economic Development Administration,2012,10,10,NA,NA,43,40
Office of Scientific and Technical Information,2008,16,17,NA,NA,NA,NA
Region 4,2012,18.83,14,NA,NA,7,39.33
Alcohol and Tobacco Tax and Trade Bureau,2012,7.25,5,2,2,14.23,13
Acquisition & Material Management,2008,NA,NA,NA,NA,141,6
United States Office of Government Ethics,2008,11,12.5,NA,NA,NA,NA
Railroad Retirement Board,2012,23.13,12,NA,NA,NA,NA
Federal Retirement Thrift Investment Board,2010,16.5,17,NA,NA,NA,NA
